Formula,Is Metal
Nd3Lu2(GaO4)3,False
Mg30AlCuO32,False
Ho6Zn23,True
NdN2Cl5,False
Nb4SiC3,True
CsTlI4,False
K4WS3O14,False
Hg2P2S7,False
Li2WO12,False
U3Al19Ni5,True
LiSn(PO3)4,True
Dy2NiAs2,True
K3Nb2AsSe11,False
Fe3P2(HO5)2,False
La4ZnCu(RhO6)2,True
Zn(NCl2)2,False
Na4Zn2In2SiS5O24,False
K2Re,True
Mg2Pb,True
RhI,True
Cr3In(CoS4)2,True
BaYV4O7,True
Sm23Mg4Ni7,True
Ni3Ge,True
Er5Ga2As,True
BaMgBi2O5,True
CoBP2HPbO9,False
Co2CuN2,True
RbTiPS5,False
Si(PbO2)2,False
NaAlSi3O8,False
MgAg5,True
MgFe4(PO3)12,False
Rb2P2Pd,False
BeAu3,True
LiCuO,False
Mn12O5F19,True
ScBr3O7,True
V6CoNi,True
Rb2NaMnF6,True
Ca2SiO4,False
BiSe,True
W(BrO)2,False
U3W2O17F2,True
NaCaGaSi2O7,False
XeF3,False
Rb2SbCl3F2,False
La2(TlPb)3,True
LiFe2OF5,False
RbCo(BrO2)3,False
NaPrTl2,True
CaMgAsO4F,False
Ba2MgNbInO6,False
CaPbI4,False
UGeRh,True
K2Mg(SbO3)2,False
Rb2HgPdF6,True
TiN2F5,True
CrHgF6,True
Ag8Hg(AsO5)2,False
Sr5(TiN3)2,False
Pr2Sb3Pd,False
Sr2PrBiO6,False
CsCuCl3,True
Ho4Fe,True
TmS2,True
CoWO4,True
MgTi(WO4)2,False
Ca12Mn8Si7(H5O16)3,False
PbI2,False
Fe3P4O15,True
CsC2N3,False
FeCu(PO4)2,True
Sr2MnMoO6,False
Si,False
Li2VPO5,False
Zn(CrS2)2,True
Na10Zn4Si5Ge4S7O48,False
Na4B3Cl,True
Cu2HgGeS4,False
Li2Mg,True
LiFe2O2F3,False
Li9Mn2Co5O16,False
Na5La2Nb2Si3(PO8)3,False
Ca2AsAu,False
Sr7Ge6,True
CoTe2,True
CsPr(SO6)2,False
Ho5Bi2Pd,True
KLaEuSbO6,True
Sr4MgV2Fe2(AsO3)2,True
KPuP2S7,False
LiGaH4,False
Hf(CoSi)2,True
B8O,False
ZnP4H16(NO8)2,False
FeHO2,False
La4MnO8,False
YHSO5,False
Mn3Co2Te3O16,True
Li5Fe(SiO4)2,False
La2MnRhO6,False
LiMg14Cu,True
Ba2Ga6O11,False
Na2MgNb2O6,True
V3Sb2,True
MgTi2O4,True
Eu2ZnBi2,True
Mn3N4,True
DyBO3,False
Li15H9N8,False
CaCrF5,False
Mn3Co2As3Rh,True
Tb3Ni13B2,True
MgVF4,False
ThRe2,True
Sr4SnPbO8,False
SbAsRh,False
Ba4Mg(GeO3)4,False
AlP2I9,False
MgCrO3,False
AgSbSe2,True
LaMnCuGe2,True
Rb6V6P6O31,False
Dy6Ti4Al43,True
Sr2UCu2S5,True
AlBi3,True
BaVZnF7,False
NbWO7,True
Ca5Gd3Ti5Mn3O24,True
BaCa2Cu3O5,True
Li2TiCuO4,True
Ca2WO5,True
K2LiSbF6,False
Na7NbO6,False
Lu6Sb2Mo,True
Tm2Ni2Sn,True
Na5Mg2Zr2P5SO24,False
SbO3,True
PrAl7Au3,True
DyInIr,True
KCaAsO12,True
MgMn6(O5F)2,True
NaCu2H3O10,True
BaInCuF7,False
TlHg3Sb2Br3,False
Li(WO2)2,True
Rb3Bi2,True
AgSnN,True
YSO4F,False
Bi8SbAuBr9,False
KCd(BO2)3,False
K2Mo2P2O11,False
ZrTiSe4,True
Pr2(CuSn2)3,True
CsXe3O3F13,False
Li5V3P8O29,False
Li5Ti2Mn3O10,False
Ca3Y9Al18CrSiO48,False
Ca3HfSi2O9,False
SbPd3,True
KMgIn(MoO4)3,False
NaIn3S5,False
LaBPt4,True
Ca2CdAs2,False
Na12B26O45,False
CaZn,True
CdGa(AgS2)2,True
BaBr2O,False
SrEuYSbO6,False
Na7Ca3Nb(PO4)6,False
LiCaFeF6,False
VCo3(PO4)4,True
Si2O3,False
Nd3Ni3Bi4,True
Ce2Cu(NO)2,True
SrInCu3Se4,False
RbTeOF4,True
V2NiO6,False
Ca2Co2O5,True
YAl,True
UH12N5F4,True
FeOF,True
Mn2FeWO6,True
MgOs,True
LiCe3,True
Sr2InBiO6,True
Cs2MnCl4,False
FeO2,True
InAgPd2,False
Ce4GaSbS9,True
Bi,True
BaGa2,True
NdGaNi,True
Ba7Fe6(OF16)2,False
Fe2BiSbO7,True
Si4MoH36C12(NO)2,False
NdZn(BO2)5,False
La2SnS5,True
Li3MnCoO5,True
Ba3Ho2Cu2PtO10,True
MgMnGaS4,True
Cr3O4,False
Dy2CuTe5Br2O13,True
Ba2GdMoO6,False
Li7Mn4CoO12,True
CuGe2N3,False
Sr7PrFe4(MoO6)4,True
HfCrSi2,True
Rb2MnF6,False
SrTaNO2,False
DyCuS2,False
CsHfMg14,True
ErSiPd,True
ZrZn16,True
LiVP2O7,False
Eu3InO,True
Ag(NO2)3,False
Li3Co2O5,False
ErMn3(FeSn2)3,True
Mg3H43C12O12F,False
Ti7(Fe3O8)3,False
K2ScInI6,False
ErSnRh2,True
MgCr3(SO4)6,False
Tm4MgTi2O10,True
LiNiAsO4,True
LiCuBO3,True
Co17Se20,True
Na4Eu(SiTe3)2,False
Dy3Mg,True
Ba10LiW7O30,False
ZnFe2(AsO7)2,True
Ce3PI3,True
NiF3,False
LiSi3,True
K2ZnF4,False
LaMgTl,True
Lu4(B2O5)3,False
La2Mn3ZnO9,True
MgTi2Mn2O6,True
Hf2N2O,False
Li3(CoS2)4,True
SmB7H7O17,False
CrPO4F,True
Zr6FeSe2,True
NbOF3,False
Tb2Co3Ni,True
LaY(SO4)3,False
Mn6O5F7,True
KO2,True
LiV2(PO4)3,False
Mg2ZnAg,False
LaDyTl2,True
LiMnPO4,False
Ta2Zn4O9,False
Mo(HO2)2,False
Hg3Sb,True
LiSn4Rh,True
Li3V3P8O29,False
MgFe2O5,True
KCN,False
ErBiRh,True
KErP4(H2O9)2,False
BeCrO4,False
NaTi(SiO3)2,True
Rb3Cr,True
RbLiMg14O15,False
K3Co(CN)6,False
SrLaI5,False
Hf6PbO18,True
U2Co3CuGe4,True
NaCaAlH2OF6,False
Li2VF6,False
ScMnCr,True
ZnOF,True
KMn2P2HO9,False
Ta2Be2O5,True
Li2FeCl4,False
K4CO4,False
SrBiBrO2,False
Er5Si4,True
PrP2H2CO6,False
Ce(Mo3Se4)2,False
Ce4YO9,True
Lu5Ni19B6,True
Rb2Ca2(SO4)3,False
MgV8Zn4O16,False
Eu,True
Ca3SiO,False
Ti(AlBr4)2,True
BaNdMgMn2O6,True
O2,False
HRu6C16NO16,False
AlFe3F15,True
HfSiGe(SO6)2,False
AlSb,False
ZrScMnNi3,True
Mn3(O2F)2,True
Li4Cr3Ni(PO4)4,False
LiBi2As2(PbO5)2,True
Rb5Re3S7,False
MnAlPH4O7,False
Na4AlInSi(PO6)2,False
KLiCO3,False
MgTa,True
Cs2MgFe(CN)6,False
Li34Sb8S7,True
Li5B4,True
MgMn2Al2O6,False
Mo2P2O11,True
Al2Zn2S5,False
YInCu,True
FeSbO4,False
Ba3NaGd3(Si3O10)2,False
Sn4SF6,False
LiFeF3,False
Mg(MoO2)4,False
SrMn2BiO6,True
Ce2Ge6Pd,True
AgTe3,True
SiC,False
Tm3P,True
MgFe3(PO4)3,False
Sn3Te,True
Sm2CuAs3O,True
MgPd2Pb,False
Li10Si(PO6)2,False
ZrSn,True
Li2V3TeO8,True
Mg3Pd,True
CdC12(S2N3)2,True
Zr2CuTc,True
Li3Fe2Co3O10,True
Li3V3(BO5)2,True
AgH8C2S2BrN4,False
CaCuP2O7,True
KH18RuN6(ClO2)4,True
MgV6(HO3)6,False
Fe2P2H6C2O13,False
LiMnBO4,True
LiAs2H3O7,False
LiV4(NiO6)2,False
GdHO2,False
La2Te3,False
Li4Ni3(OF3)2,False
Al2O3,False
Ti3CrFe2(PO4)6,False
Sm3B5O12,False
Dy3Pt,True
Mg14MnCr,True
TbSi3Rh5,True
MgNb2(RhO4)2,False
CsGeCl3,False
SrNd5S8,True
Nb2Tl3CuSe12,False
Nb2FeO6,False
MgSi2,True
CdSO3,False
Li3Mn4(BO3)4,True
La4MgFeO8,False
MoPRu,True
K6Nb11O30,True
MgTi8(NiO3)8,False
Cu2Se,True
As4S11(N6Cl7)2,False
TmGaPt,True
Na3NiF6,False
LiTi(PO3)4,True
Li6Bi2B4SO16,False
MgBiPO6,True
Li6V3P8O29,False
Al4(FeO4)3,True
NiH5CN(ClO)2,True
Pr2S3O20,False
Li2TiNi3O8,False
KSrNdFeO6,True
Y(CrGe)6,True
VRe,True
H16AuC12S2N3O4,False
U(Fe5Mo)2,True
BaNaScSi2O7,False
LaCeIn6,True
ZnCu(CO3)4,False
K2LiCrF6,False
Li2DyTl,True
Sr2GdS3,True
Na10Ta4Si11Sn4SO48,False
BiPt2Pb,True
SmLuO3,False
RbCuC2,False
La12Ga23WO56,True
Y2AgHg,True
Al4P4H11C3NO18,False
CaLa2Co2Sb2(PbO6)2,False
CuH12N2(Cl2O)2,False
Ba4TlBiPb2O9,True
Eu(FeSi)2,True
CsTlCl3,False
LiYGe,True
LuFe4B,True
HoSbO4,False
NpPa3,True
TeMoWSe3,True
Na4RuN6O13,True
SmLuRu2,True
Li2CrP2O7,False
Mg149Re,False
MnPO4,False
La4FeO8,False
CuRe2Cl,True
NaNdTiNbO6F,False
Zr2Al3Cr,True
Tb4InIr,True
In2Ga(CuSe2)3,False
BaHoMg(CoO3)2,False
MnH6(SO4)4,False
Rb2NbAgF6,True
In6Ga2PtO8,False
CaHoO3,True
AgWS4N,True
AcFeO3,False
LiCo2P4H3O14,False
Ni6Se5,True
LiPu2TeO2,True
Li5Ni2O2F5,False
NaLa2Sn2P3(SO8)3,False
ZrO2,False
NaNbSi2SnSO12,False
Si3N4,False
LiFe7O7F,True
Rb2BaCl4,False
Li32Mn13Cr3O48,False
LaFe12O19,False
Ti7P12C6(NO24)2,True
KMg8Al17Si19O72,False
Tm2ZnRu,True
Rb3Ho(PO4)2,False
Ta2FeTc,True
MgMn6(OF)6,True
BaMo2(P2O7)2,False
SbP(Cl2F3)2,False
Ba3LaMgIn(WO6)2,False
LiHoSe2,False
Rb4Hf3S14,False
LiMn2F6,False
PaTa,True
Na14Ta5In3(SiO4)12,False
BaLi2Si,True
Fe5O8,True
UTe(PbO4)2,False
NaCeMo8H40C12(S3O17)2,False
Na7MgSi3Sn3(PO8)3,False
Li2AlNiO4,False
Nb6CuSe8,True
Nd4CrS7,True
Na3CoAsCO7,False
CdCu2SiS4,False
Na3B6BrO10,False
MnPtN2,True
V2Fe3(SiO4)3,True
MgNb2(O2F)2,True
Tb3SnC,True
Sc2Se3O10,False
Ti6O,True
Ba(BO4)2,True
NaHf2Zr2P5SO24,False
Mg14CuB,True
Ti(FeSe2)2,True
TiPO4,True
Pr2AlGe6,True
GaSe3N2Cl5,False
LaMn3Ni2,True
Li(CoO2)2,True
Co3BiO8,True
Li3V5P7O29,False
Ta3Ru,True
TiCrAgS4,True
Li4Ni3TeO8,False
Li2CeAl,True
NaHf3Nb(PO4)6,False
Na5GdO4,False
Li7Cr4P9O32,False
SrMg14V,True
MnO2,True
NpBeO3,True
Mo(PO3)4,False
La6S4N3Cl,False
Li5V6O5F19,True
Eu2In,True
Er2CuOs,True
K2PH4O5,False
SbH2SO3F7,False
SeNO4,False
Sm5AgSe8,False
Mg(CuN)2,True
Li7Co5O12,True
Na5Y(CO3)4,False
NdH4S2NO8,False
CuHgSeBr,False
Ho9B5S21,False
CeMg30BO32,False
Bi11PO20,True
Mg4AlB10,True
KBi(PO3)4,False
Be2VPt,True
Mg14CrCoO16,True
HfBeO3,False
Ge19(PBr)4,False
CsSbSI2,False
Re3Se2Br5,False
Ba2EuTa3Ti2O15,True
Sr2TiSnO6,False
Ba4PrNd(Cu3O7)2,True
MgFe6(O5F)2,True
Li2MnVP2(HO5)2,True
RuSN4(ClO)2,False
Mn2AlO4,True
PmTm3,True
LiB(S2O7)2,False
Li17(Co4O9)2,False
NdWNO3,False
Na2CaInP(SO6)2,False
MgSc4(Si2O7)2,True
Li2AlPt,True
Ca2CoIrO6,True
Li2Cr2O7,False
Mg14GaCo,True
Sc2TlV,True
CsMg6GaO8,True
LaCe(SiPd)4,True
MnSnPt,True
UTiO3,True
Tl2O,False
Gd3Au,True
Pb3(NO4)2,False
ScNb6Cl13O3,False
Tm2Ge6Pt,True
CaCu2(WO4)2,False
PrTiGe3,True
SmGaCo,True
Mg30SiBO32,False
MgZn,True
MgMnTl(VS2)4,True
Tb2FeSi4,True
Sr2TiAlCu2O7,True
Ti2Ni(PO4)3,False
Eu(InS2)2,True
H3CO3,False
MnTl2H2OF5,False
B5H9N,False
Nb2Tl2O7,True
Re3Rh,True
CuP4S3Br,False
ZnCoSb2O7,False
LaCoO3,False
NiB12,True
MgAg20(BiO4)4,False
Sm2Ge2Ru,True
Nd2UTe4,True
SnO,False
LuNbO4,False
Dy2CdIn,True
Sr2MgTi6N2O11,True
Ga2Fe2S5,True
Ba2LiTbIrO6,True
Pt(NO)6,False
Ba2Tm2CuPtO8,False
Mg3Cd,True
Pm(Mg4Al3)4,True
Pr3TiSb5,False
NaBH4,False
Ba3Sr2Re3ClO15,False
LiCoPO4,False
Mn4SiTeBr2O7,False
LiCuPO4F,True
Li5Mn2CoO8,False
MgV2S4(N3Cl2)2,False
Li2Ca2Ta3O10,True
Er7Co6Sn23,True
LiHfSe2,True
Li2CdAg,False
CaNdMn2O6,True
Sc6Te2Ru,True
RbP(HO)2,False
KMg30BO32,False
Tm2MgS4,False
UMn3,True
K2AgSbI6,False
Li6Mn3CoO10,False
V3(O2F)2,False
MgCo4(AsS)4,True
Lu2CoB6,True
KGd(MoO4)2,False
Ba2CoC2(O3F)2,False
K2TiZnO4,False
Cs6Ho21S34Cl,False
Ba4Li(IrO4)3,True
KMnH24(C7N4)2,False
Fe2H6(SeO4)3,True
MgMoWO6,False
MgMn6(O2F)4,False
MgGe4(BiO6)2,False
ScGe2Ru,True
Mg2CdIr,False
ZrBeB,True
EuCu(WO4)2,True
NaCaGe3P3(SO8)3,False
Sc2Al,True
NbAlNi2,True
Rb4Sn21Hg2,False
TbNi3Sn2,True
LiBi4B3O11,False
LiFe4(PO4)3,False
CeGaO3,True
MgFe6Sb10(IO3)6,False
La23Mg4Ni7,True
Ba6Gd2Al4O15,False
CuP(HO)5,False
OsClF8,False
PmAlAu2,True
Zn2Sb2O5,False
NaFeCSO7,False
K2PdN2(ClO2)2,False
NdCo,True
Fe3O4,True
LiCr4(PO4)3,False
LiVSiO4,False
Cs6Dy21S34Cl,False
NaAlH12(SO7)2,False
Hf2IrRh,True
BaMg14Cr,True
Ca3MnCuO6,False
H4Pd(NO4)2,False
Li2Ni(PO3)4,False
Li5Ca9B7O21F2,False
CsMnP,True
LiAuF4,False
BaSr4,True
MoH12C2(S2N)2,False
NaPrTiNbO6F,False
Sm2Sn2O7,False
Sm2HgO4,False
Sr5Ca3TiMn7O24,True
CrSn(PO4)2,False
Li2SnS3,False
Mg2Si3,True
PuCl2,True
NiPO4F,True
SiBiO3,True
Th4P6PbO24,False
AgClO2,True
Tm5Mg,True
V2CoO6,False
Cu2(SO4)3,True
Ti3FeO7,False
Eu2In3Cu,True
MnCu2Sb,True
Ti(ZnN)2,True
Gd3Cu3Sb4,False
Na2Zr2O5,False
Rb5Dy3Br12,True
Tc2Pt(NO2)4,True
Na3Ti3ZnP5SO24,False
MoRu,True
Mg2C3,False
BaEuDyWO6,False
ThCr2O10,True
K2ZrHF7,False
Li4Mn3Fe(BO3)4,False
MgV2O4,True
Co2RuO4,True
Ti3Mn3(TeO8)2,True
TaZn2CrO6,False
Li4MnCo2O7,False
Pd2(RhS)15,True
Ti2Si(H2O3)3,False
Sr2Al6O11,False
VSnRh2,True
Sr4MgNi2(ClO3)2,False
CeGeO2,True
Li2Mn4OF8,False
CaSeO4,False
ZrFeP,True
CeMg6C,True
Na8SnSb4,False
TaBe4Mo,True
Rb2ZnBr4,False
Nd5Zr3(Ni4As3)4,True
Na2Cu4S3,True
Dy2Ge5Ir3,True
Li3Cr2(PO4)3,False
Li8(CoO2)5,True
MgZn2Pt,True
NaSrN,False
PBr,True
Sm8Ga21Ru11,True
Pr2Si5Pt3,True
Rb2ScSi4O10F,False
Li5Mn(CoO4)2,True
Na2Hg3S4,False
Ba2LaIrO6,True
SrCa3(PbO4)2,False
NbGaTc2,False
MgMn6(OF2)4,False
Mg3Cu2(AsO4)3,True
K2Mg(CoO2)2,True
LiB6(H5O)2,False
K4Cu4Cl10O,False
Mg3Si2,True
Li4V3P8O29,False
LiSm6B3O14,False
Zr(FeN)2,True
MnCd4O5,True
Li3TiCr3O8,False
Cs2RbFeF6,False
LiPr2Pa2O8,True
K2OsO6,True
NiRuBr2,True
Tb3CuGeS7,False
Nd2Ta6O19,True
KB6(HO)6,False
TlSn,True
MgMnPO5,False
NaInSe2,False
BaZn(MoO2)4,True
LuI3O10,False
Li3FeSiCO7,False
Na2LiTlBr6,False
Ga2CoP3NO14,False
Zn4CdSe4S,False
LiCu5(PO4)2,True
V2N4O11,False
InCuSe2,True
Li5Fe3F14,False
Y2Ni3N4,True
Li3CrPCO7,True
Mg149In,False
SrCaEuSeO6,True
Rb4PbO4,False
MgHg,True
SrFeSnWO6,True
Hf9Re4As,True
TbCuGe,True
K4Na4Mo3(WO4)5,False
Pr(FeSb3)5,True
Hg(CN)2,False
Zr3ZnCu2,True
LiV4OF11,False
Rb3LiTbV2O8,False
Hf2V3Ge,True
Li9Mn7O16,True
CaGa2,False
UC2,True
MnFeCo(PO4)3,False
DyAlCo4,True
NaPrZrFeO6,True
LiGa3,True
Li2Co3SnO8,True
LaPt,True
Na3Hf3Al(PO4)6,False
MgMn6O11F,False
ZnAg3,True
NiC2(SN3)2,True
Ce(YSi)4,True
MnFeTe,True
Sm2Ge5Ir3,True
Rb2LiVS4,False
LaTiAlPbO6,False
LiMo8(P2O11)4,False
Cd(GaSe2)2,True
Mg2Zr14O5,True
MnIn2NiO6,True
CaGaGe,True
NaAlH8(NF3)2,False
CaSmMnSnO6,False
NaRh(N2O3)4,True
BaGa2B2O7,False
AuSCl5,False
LiMg6B,True
Tb(SiAg)2,True
Sr2TbRuO6,False
Li5V2Co5O12,False
NiAsRh,True
Lu3In,True
Fe3H6C6(N3Cl4)2,False
KLi3Ca7Ti2Si12(O18F)2,False
Li11Ti12(NiO8)4,False
Li2CrO3,False
TmTiO3,True
Re3W,True
Sr(FeS2)2,True
LaCu13,True
Na7La3NbSi3(PO8)3,False
Ca11YAl15Cr4SiO48,True
EuMgPd,True
Li2Cu2F5,True
TiSnRu2,True
CsPrCdTe3,False
EuMgBiSbO6,True
KMg6Nb,True
PrS,True
Mn4O7F,True
CaTiO2,True
CsTi(NbCl3)6,True
KEuMgWO6,True
Lu2CuPt,True
TiMn(Ni2Sn)2,True
MnNiO3,True
NaLi5Mn2P2(CO7)2,False
MgMnO2,True
MgTi14O25,True
HoZn(BiO3)2,True
CuReO4,True
NbH,True
BeTlAsO4,False
Al3Fe,True
PH30Pt2C10I2NCl2,False
Rb4MgTi2(CuS2)4,True
S,False
BaCeMg6,True
Ca16HN8,True
Li2Fe3(SiO4)2,False
TeN2,True
Mg6VMo,True
NaHfMg14,True
CeGa3Ni,True
ReRuCl2,True
Li2NiH8(CO5)2,False
MgTl3,True
Ba2La3Ti2Cr3O15,False
Na3(W2O3)2,True
HoMgSe3,True
Ba5B4(O5F)2,False
CoRe3H22(N3O7)2,False
Gd2Si4CN6,False
Ba14Na14LiN6,True
Rb2NaPdF6,False
KSnN3,True
YWO3,True
Na10Co4O9,False
LiVF4,False
In2Te5,False
TmNi4B,True
MgTe4MoW3S4,True
WSe2,False
Mg7Si4,True
Na4ZnP3H32C3NO22,False
PrHSe,False
Er2C,True
LaScSb,True
Li4Ti2V3Cu3O16,True
Li4V3CoO8,True
Tb2Mo4O15,False
Y2O3,False
Eu2ZnGe3,True
Rb2AlHgCl6,True
La2MgCrO6,False
Cr2H8N2O7,False
EuMgFeO3,True
Li4Co2C4SO16,True
Li4VO3F2,False
LiMn6O12,True
Ca2AlMoO5,False
TeH14C3S3(N3F2)2,False
Li2NbS3,True
MnCr3Te4,True
NaMgMn2O4,False
TbScO3,False
Sr6La4Mg2Ru3O20,True
NaGdGeO4,False
Mn2In2Se5,True
Li8Mn5Fe3(BO3)8,False
K2CuH12(SO7)2,False
Li3MnF6,False
Ba3SrY8(CuO5)4,False
Mg2Sn,True
Er(ZnP)3,False
Eu(LuSe2)2,False
Ti2H2O3,True
KPPdS4,False
KClO3,False
Na(AuO2)2,True
MgH8(ClO2)2,False
Li3CuO3,False
Y7(CuTe4)3,True
MgAl4(HO)12,False
EuNi2B2C,True
Na2Fe4O7,False
Ti5FeSb2,True
CsNb3SBr7,False
Ba3UFe2O9,False
MoW3(SeS)4,False
Al2V2O7,True
LaPrTl2,True
LiMg3(WO4)3,True
BaMg14Sb,True
Ca5P3ClO12,False
Na2Zr3ZnP4(SO12)2,False
Co(Mo3O17)2,False
TaNbMo,True
NaBeSi3HO8,False
Ba4Nb2O9,False
LiVMoO6,False
Ba2La3Ti2Nb2O15,True
Li4FeCo5O12,True
Ca3Ho,True
Ba2HgS3,False
VIr3,True
HoCuSb2,True
TiTc,True
K3RuF12,True
Er18Ti14O55,False
Li5Mn6O12,False
TeMoS,True
KMg6Zr,True
Mg14TiCu,True
Mo3P3O16,True
Li3MgNi3O8,True
Nb3CoS6,True
Rb2CuBr3,False
SrCa7Ti3Mn5O22,True
La4Al2O9,False
Dy6Al43V4,True
LaCuO3,True
LiDyTl2,True
MnNi2Ge,True
La2MnSb4,True
LiFeF5,True
KPO4,True
Ho4In(NiGe2)2,True
MgZn2Bi3O8,True
Ba2Ca(PdO2)3,True
Li2Fe(PO4)2,True
SiH8(CBr)4,False
Dy12Ni6Pb,True
IrOs,True
YCuGe,True
MgZn5,True
Li3Fe2(SiO4)2,False
K3AsF6,False
CaCrO6,True
MgMn2Co5O12,False
AgAsS2,False
K2NaDyCl6,False
K3(TcCl4)2,False
Na4Ta3AlSi4(PO12)2,False
Ho4Rh,True
LiNdMn4O12,True
Na13Ca7S12(ClO16)3,False
Er7(AgTe)2,True
Rb2InGe4As7,False
Ca2MnFeSi4(HO3)5,False
AgF2,True
TbSi2RuRh,True
Li4Mn3V2Cu3O16,True
Li2Sm5Sn7,True
Sb,True
Li3Sc,True
NaLaTi8(CuO4)6,False
BaLaAlO4,False
ZnS,False
CsMg14AlO16,False
Cu2NiTeO6,False
Nb3SnGeMo3,True
Na10Zn3Sn5(PO4)12,False
Y2In,True
Te2Ir,True
LiVO2,False
CsRuO3,True
Eu2(Ga3Ir)3,True
Na2Zn2SiSn2S5O24,False
Na5Mg2Sn2P5SO24,False
K3AuCl6,False
Ca2AlH8S2Cl(O6F)2,False
Li2CoCuO4,True
Eu2MgTi2(ClO3)2,False
Ga3NO3,False
NdHo3,True
CrS2,True
Mg2Mn3VS8,True
Re3Mo,True
ScReTc2,True
SnIr3,True
Li4Mn3Cr3(NiO8)2,False
Li2SiF6,False
Ba3TiO5,False
La2AlZn,True
LiFePCO7,False
Y4Ti13Si2(SbO14)2,True
Sr3La(NiO4)2,True
Zr3(Mn2Si3)2,True
Dy4Ga12Pt,True
Na4FeNi(PO4)3,False
Cs2KTiF6,True
TmMgRh2,True
UP3H10ClO8,False
CaZnSn,True
InNi3N,True
CaCuF5,True
MnBi2O5,True
PrSiPd,True
Li2BiBO4,False
RbMnBi,True
V2OF5,False
NO,False
Li3PF6,False
Li2HoPCO7,False
K2NaScBr6,False
RbNiN,False
Cu2GeSe3,True
CsMn(PO3)6,False
TcN2,True
LiBH2OF4,False
BaMg6SiO8,True
NpRe2,True
Rb2Zn5Sb4,True
EuZn5,True
Nb2PS10,False
Mo(SeCl6)2,True
Na3Er(PO4)2,False
Ti3Cu3(TeO8)2,True
Se(Br3O)2,True
Y6Ge2O13F3,False
GaN,True
